State,County,Year,TotalPpt,AverageTmp
New Mexico,Guadalupe,2000,353.1570236,13.62273263
New Mexico,Guadalupe,2001,283.1094823,13.28739701
New Mexico,Guadalupe,2002,377.6812587,13.2635389
New Mexico,Guadalupe,2003,268.0412899,13.96076869
New Mexico,Guadalupe,2004,571.5164768,12.87094655
New Mexico,Guadalupe,2005,405.8673949,13.48222361
New Mexico,Guadalupe,2006,437.9901563,13.93563807
New Mexico,Guadalupe,2007,341.3128751,13.1735637
New Mexico,Guadalupe,2008,367.7929032,13.14203216
New Mexico,Guadalupe,2009,339.7375456,13.43757496
New Mexico,Guadalupe,2010,409.5776503,13.5009939
New Mexico,Guadalupe,2011,236.5499345,13.71391731
New Mexico,Guadalupe,2012,192.2786598,14.5722552
New Mexico,Guadalupe,2013,386.7077075,13.08972135
New Mexico,Guadalupe,2014,435.6995434,13.34537225
New Mexico,Guadalupe,2015,704.3018373,13.61173263
New Mexico,Guadalupe,2016,400.8079215,14.12568086
New Mexico,Guadalupe,2017,571.0494369,14.40039033
New Mexico,Guadalupe,2018,447.6385578,13.87757273
New Mexico,Guadalupe,2019,370.0012205,13.42654569
New Mexico,Harding,1981,476.7562469,13.28753479
New Mexico,Harding,1982,423.6312219,11.83976456
New Mexico,Harding,1983,283.8939548,11.57784216
New Mexico,Harding,1984,439.6765522,11.63338252
New Mexico,Harding,1985,461.8990969,11.94311858
New Mexico,Harding,1986,503.1267622,12.48110618
New Mexico,Harding,1987,420.8684544,11.55597882
New Mexico,Harding,1988,439.4965545,11.75561239
New Mexico,Harding,1989,394.4599955,12.03362168
New Mexico,Harding,1990,412.497644,12.09172108
New Mexico,Harding,1991,545.1584156,11.87086391
New Mexico,Harding,1992,373.0465928,12.06411858
New Mexico,Harding,1993,385.6502578,11.82991982
New Mexico,Harding,1994,376.8545923,12.89758757
New Mexico,Harding,1995,359.7543248,12.59401303
New Mexico,Harding,1996,393.7649967,12.50633912
New Mexico,Harding,1997,529.2443941,11.48154713
New Mexico,Harding,1998,367.5140672,12.87555341
New Mexico,Harding,1999,422.8925357,12.81407205
New Mexico,Harding,2000,367.0477762,13.24364968
New Mexico,Harding,2001,329.0722111,12.70695404
New Mexico,Harding,2002,377.853313,12.61705649
New Mexico,Harding,2003,264.3226341,13.21074286
New Mexico,Harding,2004,566.0284684,12.34834839
New Mexico,Harding,2005,509.1229254,12.50159377
New Mexico,Harding,2006,472.3198173,13.09155033
New Mexico,Harding,2007,372.4478689,12.4573919
New Mexico,Harding,2008,411.4903802,12.45508442
New Mexico,Harding,2009,354.8968409,12.59797887
New Mexico,Harding,2010,447.527468,12.70778321
New Mexico,Harding,2011,287.6462065,13.01912796
New Mexico,Harding,2012,241.2335957,14.01947271
New Mexico,Harding,2013,385.4424807,12.28880493
New Mexico,Harding,2014,345.1727713,12.50169004
New Mexico,Harding,2015,654.707239,12.90501305
New Mexico,Harding,2016,394.7499354,13.34022422
New Mexico,Harding,2017,641.9755666,13.50191677
New Mexico,Harding,2018,428.1005268,13.0107677
New Mexico,Harding,2019,392.4843192,12.49291674
New Mexico,Hidalgo,1981,364.2360475,15.64814249
New Mexico,Hidalgo,1982,350.3641369,14.95477632
New Mexico,Hidalgo,1983,475.0652963,14.68976841
New Mexico,Hidalgo,1984,399.4376826,14.82467195
New Mexico,Hidalgo,1985,447.9755089,14.84239638
New Mexico,Hidalgo,1986,439.676015,15.13398889
New Mexico,Hidalgo,1987,353.3906507,14.28648097
New Mexico,Hidalgo,1988,411.8076987,14.70828807
New Mexico,Hidalgo,1989,212.0602067,15.4717015
New Mexico,Hidalgo,1990,388.9341367,14.87762666
New Mexico,Hidalgo,1991,476.5364284,14.33614439
New Mexico,Hidalgo,1992,398.292826,14.53626054
New Mexico,Hidalgo,1993,329.7620722,15.17150464
New Mexico,Hidalgo,1994,311.9398608,15.88057554
New Mexico,Hidalgo,1995,243.4614589,15.55854405
New Mexico,Hidalgo,1996,322.1042744,15.91808737
New Mexico,Hidalgo,1997,374.4048642,15.39936687
New Mexico,Hidalgo,1998,298.9949335,15.12838258
New Mexico,Hidalgo,1999,282.7205155,15.48143183
New Mexico,Hidalgo,2000,359.970918,16.0534555
New Mexico,Hidalgo,2001,237.83548,15.66007942
New Mexico,Hidalgo,2002,237.3779957,15.829298
New Mexico,Hidalgo,2003,144.1880105,16.41967004
New Mexico,Hidalgo,2004,362.9882082,15.28834916
New Mexico,Hidalgo,2005,279.0798223,16.00667598
New Mexico,Hidalgo,2006,325.0459469,15.78991614
New Mexico,Hidalgo,2007,314.0538477,15.62905983
New Mexico,Hidalgo,2008,290.697144,15.22688657
New Mexico,Hidalgo,2009,257.5279943,15.75647515
New Mexico,Hidalgo,2010,331.7234442,15.15842789
New Mexico,Hidalgo,2011,252.9321633,15.53729996
New Mexico,Hidalgo,2012,172.8970002,16.28940035
New Mexico,Hidalgo,2013,296.301375,15.18076451
New Mexico,Hidalgo,2014,348.7145225,15.99036295
New Mexico,Hidalgo,2015,342.4149262,15.84133738
New Mexico,Hidalgo,2016,297.0733744,16.03725665
New Mexico,Hidalgo,2017,296.1950894,16.72634724
New Mexico,Hidalgo,2018,337.5969513,16.33322322
New Mexico,Hidalgo,2019,356.9399513,15.62216219
New Mexico,Lea,1981,488.54041109999997,16.23616103
New Mexico,Lea,1982,342.705489,15.62307767
New Mexico,Lea,1983,280.557742,15.4302748
New Mexico,Lea,1984,545.2937521,15.31795909
New Mexico,Lea,1985,446.980183,15.51500234
New Mexico,Lea,1986,575.5276451,15.97636772
New Mexico,Lea,1987,409.0600508,15.00553596
New Mexico,Lea,1988,398.3048591,15.17825555
New Mexico,Lea,1989,247.3460451,15.92306169
New Mexico,Lea,1990,303.1776762,16.07052961
New Mexico,Lea,1991,505.2726442,15.53648636
New Mexico,Lea,1992,417.2834462,15.47249429
New Mexico,Lea,1993,254.4283354,15.55321867
New Mexico,Lea,1994,230.9384275,16.49565144
New Mexico,Lea,1995,280.1858144,16.29381967
New Mexico,Lea,1996,312.9317332,16.39170271
New Mexico,Lea,1997,407.5686496,15.44841096
New Mexico,Lea,1998,187.8569769,17.05843189
New Mexico,Lea,1999,338.9205628,16.76810497
New Mexico,Lea,2000,285.5692336,16.94557131
New Mexico,Lea,2001,234.0496825,16.69509695
New Mexico,Lea,2002,435.5481486,16.20822032
New Mexico,Lea,2003,228.2471194,16.84019473
New Mexico,Lea,2004,780.5958994,15.8995825
