State,County,Year,Population
Texas,Ochiltree,1982,11057
Texas,Oldham,1982,2350
Texas,Orange,1982,87402
Texas,Palo Pinto,1982,25605
Texas,Panola,1982,22067
Texas,Parker,1982,47243
Texas,Parmer,1982,10943
Texas,Pecos,1982,16946
Texas,Polk,1982,26044
Texas,Potter,1982,102612
Texas,Presidio,1982,5475
Texas,Rains,1982,5247
Texas,Randall,1982,78305
Texas,Reagan,1982,4899
Texas,Real,1982,2524
Texas,Red River,1982,15803
Texas,Reeves,1982,17257
Texas,Refugio,1982,9379
Texas,Roberts,1982,1224
Texas,Robertson,1982,15452
Texas,Rockwall,1982,16644
Texas,Runnels,1982,12206
Texas,Rusk,1982,43274
Texas,Sabine,1982,8955
Texas,San Augustine,1982,8929
Texas,San Jacinto,1982,12297
Texas,San Patricio,1982,61470
Texas,San Saba,1982,5847
Texas,Schleicher,1982,3219
Texas,Scurry,1982,20018
Texas,Shackelford,1982,4235
Texas,Shelby,1982,23263
Texas,Sherman,1982,3234
Texas,Smith,1982,137348
Texas,Somervell,1982,4373
Texas,Starr,1982,30442
Texas,Stephens,1982,10895
Texas,Sterling,1982,1401
Texas,Stonewall,1982,2424
Texas,Sutton,1982,5878
Texas,Swisher,1982,9261
Texas,Tarrant,1982,933829
Texas,Taylor,1982,119410
Texas,Terrell,1982,1568
Texas,Terry,1982,15015
Texas,Throckmorton,1982,2250
Texas,Titus,1982,22606
Texas,Tom Green,1982,90883
Texas,Travis,1982,449814
Texas,Trinity,1982,10214
Texas,Tyler,1982,16531
Texas,Upshur,1982,31213
Texas,Upton,1982,5387
Texas,Uvalde,1982,23096
Texas,Val Verde,1982,38388
Texas,Van Zandt,1982,32776
Texas,Victoria,1982,74178
Texas,Walker,1982,46011
Texas,Waller,1982,21913
Texas,Ward,1982,16211
Texas,Washington,1982,24240
Texas,Webb,1982,111106
Texas,Wharton,1982,41247
Texas,Wheeler,1982,7999
Texas,Wichita,1982,125166
Texas,Wilbarger,1982,16493
Texas,Willacy,1982,18146
Texas,Williamson,1982,87159
Texas,Wilson,1982,17591
Texas,Winkler,1982,11654
Texas,Wise,1982,28373
Texas,Wood,1982,25610
Texas,Yoakum,1982,8510
Texas,Young,1982,20546
Texas,Zapata,1982,7690
Texas,Zavala,1982,12197
New Mexico,Bernalillo,1983,441597
New Mexico,Catron,1983,2731
New Mexico,Chaves,1983,56263
New Mexico,Cibola,1983,26321
New Mexico,Colfax,1983,14370
New Mexico,Curry,1983,43166
New Mexico,De Baca,1983,2441
New Mexico,Dona Ana,1983,107627
New Mexico,Eddy,1983,53266
New Mexico,Grant,1983,27259
New Mexico,Guadalupe,1983,4483
New Mexico,Harding,1983,1005
New Mexico,Hidalgo,1983,6470
New Mexico,Lea,1983,66164
New Mexico,Lincoln,1983,12590
New Mexico,Los Alamos,1983,17492
New Mexico,Luna,1983,16391
New Mexico,McKinley,1983,57679
New Mexico,Mora,1983,4410
New Mexico,Otero,1983,47950
New Mexico,Quay,1983,10761
New Mexico,Rio Arriba,1983,30644
New Mexico,Roosevelt,1983,16489
New Mexico,Sandoval,1983,38938
New Mexico,San Juan,1983,90708
New Mexico,San Miguel,1983,23961
New Mexico,Santa Fe,1983,82250
New Mexico,Sierra,1983,8919
New Mexico,Socorro,1983,13717
New Mexico,Taos,1983,21359
New Mexico,Torrance,1983,8045
New Mexico,Union,1983,5120
New Mexico,Valencia,1983,33776
Texas,Anderson,1983,44378
Texas,Andrews,1983,15742
Texas,Angelina,1983,68337
Texas,Aransas,1983,16519
Texas,Archer,1983,7954
Texas,Armstrong,1983,2045
Texas,Atascosa,1983,27586
Texas,Austin,1983,20148
Texas,Bailey,1983,8172
Texas,Bandera,1983,8098
Texas,Bastrop,1983,29667
Texas,Baylor,1983,5240
Texas,Bee,1983,27909
Texas,Bell,1983,170366
Texas,Bexar,1983,1071709
Texas,Blanco,1983,4898
Texas,Borden,1983,1011
