State,County,Year,Volume,Count
Texas,Andrews,2010,836869,8
Texas,Andrews,2010,639366,8
Texas,Andrews,2010,595216,8
Texas,Andrews,2011,296050,8
Texas,Andrews,2011,686322,8
Texas,Andrews,2011,699342,8
Texas,Andrews,2011,1293328,8
Texas,Andrews,2011,735966,8
Texas,Andrews,2012,646650,8
Texas,Andrews,2012,390722,8
Texas,Andrews,2012,696603,8
Texas,Andrews,2012,756924,8
Texas,Andrews,2012,961998,8
Texas,Andrews,2013,669712,8
Texas,Andrews,2013,715806,8
Texas,Andrews,2014,970305,8
Texas,Andrews,2014,774694,8
Texas,Andrews,2014,832844,8
Texas,Andrews,2014,692716,8
Texas,Andrews,2015,932831,8
Texas,Crane,2005,423400,8
Texas,Crane,2012,23800308,8
Texas,Crane,2013,402569,8
Texas,Crane,2013,25235448,8
Texas,Crane,2014,411186,8
Texas,Crane,2015,866334,8
Texas,Crockett,2001,454820,8
Texas,Crockett,2006,784896,8
Texas,Crockett,2008,708357,8
Texas,Crockett,2014,58592331,8
Texas,Crockett,2015,70460586,8
Texas,Crockett,2017,127981224,8
Texas,Crosby,2013,239994,8
Texas,Crosby,2013,245297,8
Texas,Crosby,2016,371379,8
Texas,Culberson,2016,37402848,8
Texas,Culberson,2018,186291714,8
Texas,Culberson,2018,121933392,8
Texas,Ector,2003,269828,8
Texas,Ector,2007,1015580,8
Texas,Ector,2010,1699656,8
Texas,Ector,2011,1997520,8
Texas,Ector,2012,7381862,8
Texas,Ector,2012,5544553,8
Texas,Ector,2012,1123156,8
Texas,Ector,2012,1307878,8
Texas,Ector,2013,880805,8
Texas,Ector,2014,1530682,8
Texas,Ector,2014,13888980,8
Texas,Ector,2014,3142776,8
Texas,Ector,2019,15111390,8
New Mexico,Eddy,2000,1044610,8
New Mexico,Eddy,2003,790708,8
New Mexico,Eddy,2004,387760,8
New Mexico,Eddy,2005,968156,8
New Mexico,Eddy,2006,1603061,8
New Mexico,Eddy,2006,1586184,8
New Mexico,Eddy,2006,1065639,8
New Mexico,Eddy,2007,1476030,8
New Mexico,Eddy,2007,1916586,8
New Mexico,Eddy,2009,5263425,8
New Mexico,Eddy,2009,3461047,8
New Mexico,Eddy,2010,2915357,8
New Mexico,Eddy,2010,3306193,8
New Mexico,Eddy,2010,3665641,8
New Mexico,Eddy,2011,1572457,8
New Mexico,Eddy,2011,3432089,8
New Mexico,Eddy,2011,2986251,8
New Mexico,Eddy,2011,4650906,8
New Mexico,Eddy,2011,6309415,8
New Mexico,Eddy,2012,2185620,8
New Mexico,Eddy,2012,3234712,8
New Mexico,Eddy,2012,7416924,8
New Mexico,Eddy,2012,3633121,8
New Mexico,Eddy,2013,15322479,8
New Mexico,Eddy,2017,21069258,8
New Mexico,Eddy,2018,118711320,8
New Mexico,Eddy,2018,95531058,8
New Mexico,Eddy,2019,107772294,8
Texas,Fisher,2008,356160,8
Texas,Gaines,2001,6557563,8
Texas,Gaines,2003,728250,8
Texas,Gaines,2011,719796.4,8
Texas,Gaines,2011,647643,8
Texas,Gaines,2011,554562,8
Texas,Gaines,2011,367076,8
Texas,Gaines,2012,366184,8
Texas,Gaines,2014,1201074,8
Texas,Gaines,2014,1819638,8
Texas,Gaines,2015,1855328,8
Texas,Glasscock,2012,5769459,8
